,0,1
53, Hornung,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
54,"Calice de 4 mm. ou davantage à sépales verts, égalant ou dépassant la longueur du tube","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
55,Sépales tous droits,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
56, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
57,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
58, annuus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000"
59, L.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
60,Sépales tous fortement courbés et uncinés,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
61, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
62,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
63, uncinatus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000"
64, Schur.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
65,"Sépales les uns droits les autres recourbés, sur les mêmes fruits","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
66,S. orientalis,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.0045, color #000000"
67, Rôssler.,"Font: 'Times-Roman' (serifed, proportional), size 9.009, color #000000"
68,Scleranthus,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
69, orientalis,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
70," Rôssler,","Font: 'Times-Roman' (serifed, proportional), size 11.011, color #000000"
71," Phyton, Vol. 7, pp. 206-224, 1957","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
72, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
73,"CLIV,","Font: 'Times-Roman' (serifed, proportional), size 10.9717, color #000000"
74," n. 8). — ®. Plante annuelle, 1,3 à 20 cm. de haut, non glanduleuse. Tiges","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
75,"décombantes, ascendantes ou dressées au sommet, à pilosité uniforme.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
76, Entrenceuds,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
77,"longs de 0,5 à 4 cm. de long. Feuilles opposées","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
78, ,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
79,à,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
80," 5 cm. de long, subulées, poilues","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
81,vers la base et brièvement connées par leurs gaines. Glomérules de l'inflorescence,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
82,en,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
83, cyme,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
84," rameuse ou très courte. Fleurs plus ou moins sessiles. Tépales 5, lancéolés,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
85,"aigus, étroitement marginés seulement vers la base, les uns rectilignes, les autres","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
86,uncinés-recourbés,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
87, sur le même fruit. Étamines 5 à 2. Staminodes présents. Ovaire,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
88,"à 2 stigmates, enfermé dans le réceptacle induré. Faux fruit, mûr, mesurant 3,2 à","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
89,"5,3 mm. Tépales étalés ou dressés ou connivents.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
90,"Floraison: mars-juin. Grès et terrains non calcaires, légèrement hygrophile.","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
91,L.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
92, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
93,Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
94," Bikfaya, Mayrouba (Mt),","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
95," Neba'-l-Bata,","Font: 'Times-Roman' (serifed, proportional), size 8.99788, color #000000"
96, au-dessus de,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
97, Jbail,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
98, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 8.88474, color #000000"
99, Mm.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
100," Khan Sannine,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
101,"Falougha (Mt), Col de","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
102, Zahlé,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
103," (Bl, Th, Mt, Pb).","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
104, Ve.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
105, Jabal-ech-Cha'arra,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
106, (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
107,S.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
108, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
109,Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
110, 'Aïn,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
111, Halakim (Har).,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
112, A.L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000"
113, Jabal,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000"
114, Gharbi (Pr).,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
115,Aire géogr. —,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
116," Erythrée,","Font: 'Times-Roman' (serifed, proportional), size 8.96203, color #000000"
117," Ethiopie,","Font: 'Times-Roman' (serifed, proportional), size 8.9614, color #000000"
118," Liban, Syrie, Caucase, Iraq, Iran.","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
