,text,face
127,La forme monoïque (var.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
128, angustifolia,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
129, Schlecht.) est probablement étrangère à notre territoire.,"Font: 'Times-Italic' (italic, serifed, proportional), size 10, color #000000"
130,"Floraison : avril à septembre. Décombres, surtout près de points d'eau. Dolines fréquentées par","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
131,les troupeaux. Manque ou,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
132, rr.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
133, sur la côte et à faible altitude.,"Font: 'Times-Roman' (serifed, proportional), size 10.0449, color #000000"
134,374 ,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
135,NOUVELLE FLORE,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
136,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
137, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
138, Tripoli,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
139, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
140, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
141, Broummana,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
142," (Bl),","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
143, Faraya (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
144, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
145," Cèdres (JL), Hadeth,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
146, Dimane,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
147,"à Hasroun (Bl), Jab. Kneissé","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
148, (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
149, Me.,"Font: 'Times-Roman' (serifed, proportional), size 9.88752, color #000000"
150," Dolines du Jab. Sannine (Mt), Ouadi Safsaf (P).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
151, Met.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
152,"Qabbélias,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.0641, color #000000"
153," Ouadi-el-'Arayech,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
154, Jdita (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.9954, color #000000"
155,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
156, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
157," Ghouta (Bl, Pb).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
158,"Aire géogr. — Europe, Asie septentrionale et moyenne, Polynésie, Amérique.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
159,Urtica fragilis,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
160," Thiébaut (Bulletin de la Société Botanique de France, 82,","Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
161,"1935, p. 4)","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
162, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
163," CXXII,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
164, n. 4). —,"Font: 'Times-Roman' (serifed, proportional), size 10.9524, color #000000"
165, %.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
166," Plante monoïque,","Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
167, suffrutescente,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
168," et ligneuse,","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
169,"de ce fait plus ou moins fragile à la base, à tiges anciennes lignifiées plus ou moins","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
170,"couchées et tiges récentes herbacées, dressées, en général courtes, 10-50 cm., ra-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
171,"meuses, glabrescentes, mais pourvues de quelques soies urticantes. Feuilles longue-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
172,"ment pétiolées, brièvement hispides sur les deux faces, armées de quelques soies","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
173,"urticantes, à limbe ovale-aigu, en coin ou arrondi à la base, profondément denté,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
174,mais à dents relativement larges et peu aiguës. Inflorescences,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
175, ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
176,"spiciform.es,","Font: 'Times-Roman' (serifed, proportional), size 10.9587, color #000000"
177, sub-,"Font: 'Times-Roman' (serifed, proportional), size 10.9587, color #000000"
178,"sessiles, non rameuses, grêles, allongées, à l'aisselle des feuilles supérieures, géminées,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
179,à rachis un peu ailé. Inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
180,"globuleuses, hérissées de soies urticantes. Poils","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
181,"urticants espacés, mais provoquant une irritation intense et prolongée.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
182,"Floraison: janvier-mai, très localisée.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
183,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
184, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
185," Mohrab, entre Ghosta et Dlepta (Th, Gb, Mt, Pb). Mgheiré,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
186, olim,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
187, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
188,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
189, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
190, Slenfé (Sam).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
191,"Aire géogr. — Endémique. Trouvée aussi, au nord de notre territoire près de Bityas, dans","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
192,l'Amanus,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
193, (Dlb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
194,Urtica hulensis,"Font: 'Times-Roman' (serifed, proportional), size 9.9049, color #000000"
195, Feinbr. — Plante décrite par N.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
196, FEINBRUN,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
197, : « A new nettle from,"Font: 'Times-Roman' (serifed, proportional), size 8.85539, color #000000"
198,"Huleh»,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
199," dans: Palestine Journal of Botany, Jerusalem Series, Vol. IV: 114-115,","Font: 'Times-Roman' (serifed, proportional), size 10.9401, color #000000"
200,. 1947. •,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
201,Présentée comme voisine de,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
202, membranacea,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
203, et,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
204, de,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
205," fragilis,","Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
206," cette espèce est, comme","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
207,"la précédente, vivace, dotée de stipules connées, à poils urticants peu nombreux","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
208,"mais très actifs, mais s'en sépare par ses feuilles bien plus longuement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
209," acuminées,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
210,"sa base non ligneuse et fragile, la taille de ses tiges pouvant aller jusqu'à un mètre.","Font: 'Times-Roman' (serifed, proportional), size 10.9543, color #000000"
211,Les inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
212,seules ont été observées et décrites. Proches de celles de,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
213," fragilis,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
214,"elles sont courtes, non rameuses, denses, multiflores.","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
215,Bords du Jourdain et du Lac,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
216, Houle.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
217,PARIETARIA,"Font: 'Times-Roman' (serifed, proportional), size 10.9345, color #000000"
218," L. — Herbes annuelles ou vivaces, à feuilles non stipulées,","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
219,"alternes, 3-nerviées à la base, pourvues de cystolithes punctiformes. Inflorescences","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
220,disposées par 2 à la base,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
221, d'un,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
222, ramule,"Font: 'Times-Roman' (serifed, proportional), size 11.1234, color #000000"
223," axillaire souvent avorté, en","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
224, cymes,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
225, d'abord,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
226,"bipares, puis unipares dans leurs dernières ramifications, lâches ou denses,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
227, 3-multi-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
228,"flores. Fleurs à 1-3 bractées foliacées, libres ou plus ou moins soudées à la base entre","Font: 'Times-Roman' (serifed, proportional), size 11.0342, color #000000"
229,"elles ou même avec celles des fleurs voisines et les entrenœuds intermédiaires, for-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
230,mant ainsi une sorte d'involucre autour des fleurs. De celles-ci les latérales sont,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
231,ordinairement hermaphrodites et les médianes ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
232,. Fleurs hermaphr. à 4 sépales,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
233,concrescents à la base en un tube,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
234," campanule,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
235, accrescent après l'anthèse. 4 étamines.,"Font: 'Times-Roman' (serifed, proportional), size 10.9631, color #000000"
236,Fleur ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
237,"à périanthe tubuleux, renflé, à limbe 4-fide, à lobes connivents. Ovaire libre,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
238,"droit, ové ou oblong, uniloculaire. Akène droit, ové,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
239, luisant,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
240, et,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
241, lisse.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
242,"Plante vivace, généralement pluricaule, par ailleurs très variable, herbacée ou sous-frutescente,","Font: 'Times-Roman' (serifed, proportional), size 10.9099, color #000000"
243,"à feuilles plus ou moins longues, pétiolées ou sessiles, caractérisée surtout par le périanthe des","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
244,fleurs fertiles accrescent en tube,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
245,P.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
246, judaica,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.85539, color #000000"
247, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.94979, color #000000"
248,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 8.94222, color #000000"
249,375,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
250,Plantes annuelles ou au plus pérennantes,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
251,"plus ou moins pérennante, mais à racine peu épaisse. Fleurs hermaphrodites entourées de","Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
252,deux bractées,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
253," accrescentes,","Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
254," inégales, les dépassant, connées","Font: 'Times-Roman' (serifed, proportional), size 9.15611, color #000000"
255,P. eretica,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
256, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.91423, color #000000"
257,"franchement annuelles, à feuilles petites","Font: 'Times-Roman' (serifed, proportional), size 8.91423, color #000000"
258,périanthes et bractées non accrescents,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
259,P.,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
260, lusitanica,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.85539, color #000000"
261, L.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.94988, color #000000"
262,"bractées des fleurs très développées, non connées, largement ovales, involucrantes","Font: 'Times-Roman' (serifed, proportional), size 8.85539, color #000000"
263,P. alsinifolia,"Font: 'Times-Roman' (serifed, proportional), size 9.16311, color #000000"
264, Del.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.85539, color #000000"
265,Parietaria judaica,"Font: 'Times-Roman' (serifed, proportional), size 8.85539, color #000000"
266," L. (Strand,","Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
267, Fior.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
268, Pal. 1756) —,"Font: 'Times-Roman' (serifed, proportional), size 11.0198, color #000000"
269, P.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
270, officinalis,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
271," L.,","Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
272, ssp.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
273, judaica,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.8832, color #000000"
